Class,Method Name,Arg/Ret/Var,Variable Name,Inferred Type,Original Type,Exact (E) / Up to Parameter (P) / Got Type (T) / None (N),Solution Source,Source Code
User,name_and_email,Ret,"",String,String,E,Constraints,"def name_and_email
    ""#{name} &lt;#{email}&gt;"".sanitize
  end"
User,email_and_name,Ret,"",String,String,E,Constraints,"def email_and_name
    ""#{email} (#{name})"".sanitize
  end"
User,subscribed_lists,Ret,"","Array<[List, String]>",Array<Array<(List or Symbol)>>,P,Constraints,"def subscribed_lists
    subscriptions.where(:subscribable_type => ""List"").map { |s| [List.find(s.subscribable_id), s.kind] }
  end"
User,subscribed_talks,Arg,range,([ ==: (:all) -> (false or true) ] and [ ==: (:current) -> (false or true) ] and [ ==: (:past) -> (false or true) ] and [ ==: (:this_week) -> (false or true) ] and [ ==: (:today) -> (false or true) ] and [ ==: (:upcoming) -> (false or true) ] and [ inspect: () -> { { User#subscribed_talks arg: range }#inspect call_ret: ret } ]),Symbol,TS,Constraints,"def subscribed_talks(range, filter = [""kind_subscriber"", ""kind_subscriber_through"", ""kind_watcher"", ""kind_watcher_through""])
    raise ""Argument #{range.inspect} out of range"" unless [:past, :today, :this_week, :upcoming, :current, :all].member? range
    talks = {} # map from talk to kind

    # directly subscribed talks
    subscriptions
      .where(:subscribable_type => ""Talk"")
      .map do |s|
        t = Talk.find(s.subscribable_id)
        talks[t] = s.kind if (t.match_range range) && (filter.member? s.kind)
      end

    # subscriptions via lists, whicih take precedence over directly subscribing/watching
    subscribed_lists.each do |l,k|
      l.talks.each do |t|
        if t.match_range range then
          case k
          when ""kind_subscriber""
            talks[t] = ""kind_subscriber_through"" if filter.member? ""kind_subscriber_through""
          when ""kind_watcher""
            talks[t] = ""kind_watcher_through"" if (talks[t] != ""kind_subscriber"") && (filter.member? ""kind_watcher_through"")
          end
        end
      end
    end

    return talks
  end"
User,subscribed_talks,Ret,"","Hash<Talk, String>","Hash<Talk, (String or Symbol)>",P,Constraints,"def subscribed_talks(range, filter = [""kind_subscriber"", ""kind_subscriber_through"", ""kind_watcher"", ""kind_watcher_through""])
    raise ""Argument #{range.inspect} out of range"" unless [:past, :today, :this_week, :upcoming, :current, :all].member? range
    talks = {} # map from talk to kind

    # directly subscribed talks
    subscriptions
      .where(:subscribable_type => ""Talk"")
      .map do |s|
        t = Talk.find(s.subscribable_id)
        talks[t] = s.kind if (t.match_range range) && (filter.member? s.kind)
      end

    # subscriptions via lists, whicih take precedence over directly subscribing/watching
    subscribed_lists.each do |l,k|
      l.talks.each do |t|
        if t.match_range range then
          case k
          when ""kind_subscriber""
            talks[t] = ""kind_subscriber_through"" if filter.member? ""kind_subscriber_through""
          when ""kind_watcher""
            talks[t] = ""kind_watcher_through"" if (talks[t] != ""kind_subscriber"") && (filter.member? ""kind_watcher_through"")
          end
        end
      end
    end

    return talks
  end"
Talk,extended_title,Ret,"",String,String,E,Constraints,"def extended_title
    if kind == :standard
      title
    else
      ""#{kind_text}: #{title}""
    end
  end"
Talk,start_end_same_day,Ret,"",Array<String>,Array<String>,E,Constraints,"def start_end_same_day
    if start_time && end_time && (start_time.to_date != end_time.to_date)
      errors.add(:internal_error, ""- start time and end time must be on same day"")
    end
  end"
Talk,start_end_not_error,Ret,"",Array<String>,Array<String>,E,Constraints,"def start_end_not_error
    errors.add(:start_time, ""- Invalid start time"") if not start_time
    errors.add(:end_time, ""- Invalid end time"") if not end_time
  end"
Talk,start_less_than_end,Ret,"",Array<String>,Array<String>,E,Constraints,"def start_less_than_end
    errors.add(:end_time, ""- End time must be greater than start time"") if (start_time && end_time && (not (end_time > start_time)))
  end"
Talk,at_least_one_list,Ret,"",Array<String>,Array<String>,E,Constraints,"def at_least_one_list
    errors[:base] << ""A talk must belong to at least one list"" if lists.length < 1
  end"
