Class,Method/Variable,Inferred Type,Original Type,Source Code,Comments
BuildingsController,@buildings,Array<Building>,Array<Building>,
BuildingsController,index,() -> Array<Building>,() -> Array<Building>,"def index
    authorize! :edit_buildings, :all
    @buildings = Building.all.sort { |a, b| a.abbrv <=> b.abbrv }
  end"
BuildingsController,update,() -> String,() -> (Array<String> or String),"def update
    authorize! :edit_buildings, :all
    msg = """"
    if (params[:building_abbrv_new] != """") || (params[:building_name_new] != """") || (params[:building_url_new] != nil)
      logger.info "">> #{params[:building_abbrv_new].inspect}, #{params[:building_name_new].inspect}, #{params[:building_url_new].inspect}""
      b = Building.new(:abbrv => params[:building_abbrv_new],
                          :name => params[:building_name_new],
                          :url => params[:building_url_new])
      b.save
      msg << ""New building: "" << b.errors.full_messages.join("" "") << ""<br/>"" if not (b.errors.empty?)
    end
    params.each_pair do |k,v|
      next unless k =~ /^building_(.*)_(\d+)/
      b = Building.find($2)
      case $1
      when ""abbrv"", ""name"", ""url"" # only valid attrs
        next if b.send($1) == v   # unchanged
        old_abbrv = b.abbrv
        b.send(""#{$1}="", v)       # set value
        b.save
        msg << ""#{old_abbrv}: "" + b.errors.full_messages.join("" "") << ""<br/>"" if not (b.errors.empty?)
      else
        next
      end
    end
    redirect_to buildings_index_path, :alert => msg.sanitize
  end"
BuildingsController,destroy,() -> String,() -> String,"def destroy
    authorize! :edit_buildings, :all
    b = Building.find(params[:id])
    abbrv = b.abbrv
    b.destroy
    redirect_to buildings_index_path, :alert => ""Building #{abbrv} deleted""
  end"
JobsController,@jobs,Array<Delayed::Backend::ActiveRecord::Job>,Array<Delayed::Job>,
JobsController,@job,Delayed::Backend::ActiveRecord::Job,Delayed::Job,
JobsController,@out,String,String,
JobsController,@success,(false or true),(false or true),
JobsController,index,() -> Array<Delayed::Backend::ActiveRecord::Job>,() -> Array<Delayed::Job>,"def index
    @jobs = Delayed::Job.all.sort { |a,b| a.created_at <=> b.created_at }
  end"
JobsController,delete,() -> String,() -> String,"def delete
    @job = Delayed::Job.find(params[:id])
    tm = @job.created_at
    @job.destroy
    flash[:notice] = ""Deleted job that was created at #{tm}""

    redirect_to jobs_index_path
  end"
JobsController,delete_all,() -> String,() -> String,"def delete_all
    Delayed::Job.all.each { |j|
      j.destroy
    }
    flash[:notice] = ""Deleted all jobs""

    redirect_to jobs_index_path
  end"
JobsController,do_start,() -> String,() -> String,"def do_start
    runcmd ""#{::Rails.root}/script/delayed_job restart""
    flash[:notice] = @out.sanitize
    redirect_to jobs_index_path
  end"
JobsController,do_stop,() -> String,() -> String,"def do_stop
    runcmd ""#{::Rails.root}/script/delayed_job stop""
    flash[:notice] = @out.sanitize
    redirect_to jobs_index_path
  end"
JobsController,do_restart,() -> String,() -> String,"def do_restart
    runcmd ""#{::Rails.root}/script/delayed_job restart""
    flash[:notice] = @out.sanitize
    redirect_to jobs_index_path
  end"
JobsController,do_reload,() -> String,() -> String,"def do_reload
    runcmd ""#{::Rails.root}/script/delayed_job reload""
    flash[:notice] = @out.sanitize
    redirect_to jobs_index_path
  end"
JobsController,do_status,() -> String,() -> String,"def do_status
    runcmd ""#{::Rails.root}/script/delayed_job status""
    flash[:notice] = @out.sanitize
    redirect_to jobs_index_path
  end"
